segment_id,channel,start_time,end_time,peak_delta,n_points,threshold_used,method
0,flex1,1970-01-01 00:00:00.000032536,1970-01-01 00:00:00.000034803,15.0,79,0.8,diff_threshold
1,flex2,1970-01-01 00:00:00.000032536,1970-01-01 00:00:00.000034803,23.0,79,0.8,diff_threshold
2,flex3,1970-01-01 00:00:00.000032536,1970-01-01 00:00:00.000034803,30.0,79,0.8,diff_threshold
3,flex4,1970-01-01 00:00:00.000032536,1970-01-01 00:00:00.000034803,24.0,79,0.8,diff_threshold
4,flex5,1970-01-01 00:00:00.000032565,1970-01-01 00:00:00.000034803,27.0,78,0.8,diff_threshold
