,flex1,flex2,flex3,flex4,flex5
sum,4004356.0,4129634.0,4073438.0,4008280.0,3991741.0
mean,834.2408333333333,860.3404166666667,848.6329166666667,835.0583333333333,831.6127083333333
var,538.8117517538376,2376.029122560256,442.06192939501284,1561.7986386052648,73.64847359692992
std,23.21231896545103,48.74452915518064,21.025268830505183,39.51959815844874,8.581868887190593
median,826.0,873.0,846.0,825.0,830.0
min,791.0,574.0,780.0,768.0,806.0
max,882.0,956.0,913.0,935.0,882.0
q1,814.0,846.0,835.0,806.0,826.0
q3,855.0,896.0,866.0,880.0,836.0
