,flex1,flex2,flex3,flex4,flex5
sum,3619782.0,3798316.0,3731623.0,3723156.0,3812953.0
mean,853.7221698113208,895.8292452830188,880.0997641509434,878.1028301886793,899.2813679245284
var,161.92939750831232,1027.5377149292062,962.8286859552137,692.4079183858777,1184.0951469842034
std,12.725148231290365,32.05522913549685,31.0294809166253,26.313645098805253,34.41068361692635
median,856.0,895.0,876.0,884.0,908.0
min,818.0,808.0,795.0,798.0,817.0
max,894.0,964.0,955.0,944.0,992.0
q1,843.0,877.0,853.0,853.0,874.0
q3,864.0,921.0,909.0,895.0,926.0
