,flex1,flex2,flex3,flex4,flex5
sum,3946883.0,3732089.0,3782322.0,4163137.0,4284023.0
mean,822.2672916666667,777.5185416666667,787.98375,867.3202083333333,892.5047916666666
var,452.1558793064527,26.652292100784884,29.211238278808082,692.2031339428353,1394.979764490866
std,21.26395728236992,5.162585795973262,5.404742202807465,26.309753589549928,37.34942790044937
median,810.0,778.0,788.0,863.0,874.0
min,790.0,758.0,769.0,818.0,823.0
max,874.0,800.0,815.0,963.0,979.0
q1,804.0,774.0,785.0,844.0,857.0
q3,838.0,781.0,791.0,882.0,929.0
