,flex1,flex2,flex3,flex4,flex5
sum,4028381.0,3727268.0,4228791.0,4154999.0,4319465.0
mean,839.2460416666667,776.5141666666667,880.998125,865.6247916666666,899.8885416666667
var,504.1205302754046,28.760791137042443,402.44654784851014,1068.2590643450023,351.31722646211017
std,22.45262858276074,5.362908831692223,20.06107045619725,32.68423265651195,18.74345823112987
median,850.0,777.0,885.0,866.0,904.0
min,792.0,759.0,830.0,741.0,840.0
max,909.0,801.0,955.0,936.0,964.0
q1,813.0,773.0,864.0,850.0,891.0
q3,858.0,780.0,896.0,894.0,912.0
