,timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
sum,776917300.0,1.0566948771025724e+16,206766.37,-354504.92,-129821.74,4851309.0,4623103.0,4671894.0,5173070.0,5179532.0,221049.0853,-3371.11,-4211.652,2519.485
mean,129077.4713,1755598732517.9805,34.3523,-58.8976,-21.5687,805.9992,768.0849,776.1911,859.4567,860.5303,36.7252,-0.5601,-0.6997,0.4186
var,4628277281.2153,4599527219.8655,2.3177,82.5369,18.4326,44.2268,17.0209,16.8495,738.3452,332.5496,42.381,0.0005,0.0035,0.0137
std,68031.4433,67819.8144,1.5224,9.085,4.2933,6.6503,4.1256,4.1048,27.1725,18.2359,6.5101,0.0219,0.0592,0.117
median,129719.0,1755598731415.0,34.45,-54.24,-20.65,807.0,768.0,776.0,851.0,856.0,33.3333,-0.561,-0.678,0.485
min,19138.0,1755598620832.0,30.33,-78.86,-31.0,784.0,756.0,765.0,798.0,824.0,0.1052,-0.684,-0.829,0.155
max,241690.0,1755598843388.0,42.76,-51.67,-15.77,831.0,781.0,796.0,923.0,903.0,50.0,-0.503,-0.633,0.518
q1,71157.5,1755598672853.0,33.2,-60.12,-22.545,803.0,765.0,774.0,841.0,846.0,33.3333,-0.576,-0.704,0.398
q3,189424.0,1755598791122.0,35.45,-52.95,-18.22,810.0,771.0,779.0,875.0,879.0,34.4828,-0.542,-0.658,0.492
