,timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
sum,192172092.0,1824067141217929.0,37038.23,-61748.59,-23118.18,841598.0,797855.0,810319.0,907282.0,915870.0,38570.7419,-600.563,-729.0,426.309
mean,184958.7026,1755598788467.6892,35.648,-59.4308,-22.2504,810.0077,767.9066,779.9028,873.2262,881.4918,37.1229,-0.578,-0.7016,0.4103
var,74975316.1186,100388515.7809,0.9421,1.4549,0.3658,54.1175,17.5317,22.4135,22.7378,36.701,45.5438,0.0002,0.0,0.0004
std,8658.8288,10019.407,0.9706,1.2062,0.6048,7.3565,4.1871,4.7343,4.7684,6.0581,6.7486,0.015,0.0056,0.0205
median,184942.0,1755598787495.0,35.76,-59.61,-22.4,809.0,768.0,779.0,873.0,881.0,33.3333,-0.58,-0.702,0.408
min,165302.0,1755598771784.0,30.33,-61.68,-23.46,794.0,756.0,765.0,857.0,864.0,33.3333,-0.602,-0.717,0.377
max,199903.0,1755598802661.0,37.23,-53.84,-20.13,831.0,780.0,796.0,890.0,902.0,50.0,-0.508,-0.671,0.503
q1,177700.0,1755598780550.0,34.72,-60.45,-22.64,805.0,765.0,777.0,870.0,877.0,33.3333,-0.591,-0.706,0.393
q3,192453.0,1755598802111.0,36.55,-58.38,-21.81,813.0,771.0,782.0,876.0,885.0,34.4828,-0.564,-0.697,0.426
