,timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
sum,210940490.0,2175186505326719.8,77296.31,-83085.02,-9103.57,951392.0,951658.0,1073399.0,1145518.0,1121345.0,42559.3596,-1097.976,-530.564,225.253
mean,170250.5973,1755598470804.4553,62.386,-67.0581,-7.3475,767.8709,768.0856,866.343,924.5504,905.0404,34.3498,-0.8862,-0.4282,0.1818
var,127266109.0501,125653489.3403,2.6946,3.997,0.7223,9.5294,16.0444,48.7813,31.5611,39.0549,8.6226,0.0002,0.0003,0.0006
std,11281.2282,11209.5267,1.6415,1.9993,0.8499,3.087,4.0055,6.9844,5.6179,6.2494,2.9364,0.0129,0.0181,0.0244
median,170305.0,1755598470753.0,62.37,-66.68,-7.53,768.0,768.0,866.0,924.0,905.0,33.3333,-0.886,-0.429,0.183
min,149308.0,1755598452184.0,59.89,-71.17,-8.38,760.0,758.0,846.0,909.0,887.0,33.3333,-0.924,-0.457,0.126
max,189866.0,1755598490313.0,67.49,-60.43,-2.96,776.0,778.0,886.0,940.0,922.0,50.0,-0.863,-0.318,0.223
q1,160657.5,1755598461104.0,61.045,-68.82,-8.1,766.0,766.0,862.0,921.0,901.0,33.3333,-0.896,-0.441,0.162
q3,179900.5,1755598480347.5,63.53,-65.465,-6.69,770.0,771.0,871.0,928.0,909.0,34.4828,-0.875,-0.416,0.203
