,timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
sum,104343080.0,2271744305696819.0,88797.91,-81177.53,-5171.27,994246.0,994029.0,1090612.0,1164958.0,1115880.0,44366.7955,-1207.859,-420.87,216.48
mean,80636.0742,1755598381527.681,68.6228,-62.7338,-3.9963,768.3509,768.1832,842.8223,900.2767,862.3493,34.2865,-0.9334,-0.3252,0.1673
var,157315218.3332,144105581.8277,0.2819,0.6756,0.044,8.8033,16.0786,32.0148,15.7022,23.4061,8.7017,0.0,0.0,0.0001
std,12542.5364,12004.3984,0.5309,0.8219,0.2097,2.967,4.0098,5.6582,3.9626,4.838,2.9499,0.0032,0.0053,0.0084
median,80855.5,1755598381302.0,68.435,-62.38,-4.05,769.0,768.0,843.0,901.0,862.0,33.3333,-0.933,-0.326,0.17
min,57295.0,1755598363977.0,67.83,-64.6,-4.45,760.0,759.0,827.0,891.0,849.0,1.1962,-0.943,-0.336,0.146
max,101998.0,1755598402444.0,70.14,-61.23,-3.27,776.0,778.0,859.0,910.0,876.0,50.0,-0.927,-0.3,0.18
q1,69925.25,1755598370371.25,68.16,-63.41,-4.18,766.0,766.0,839.0,898.0,859.0,33.3333,-0.936,-0.329,0.16
q3,91438.75,1755598391885.5,69.14,-62.1,-3.82,770.0,771.0,846.0,903.0,865.0,34.4828,-0.931,-0.321,0.174
