,timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
sum,272706603.0,2175186569039455.8,68035.07,-89496.34,-15127.08,956922.0,953261.0,1085596.0,1159306.0,1163683.0,42401.0815,-1010.124,-678.555,211.688
mean,220102.1816,1755598522227.1638,54.9113,-72.2327,-12.2091,772.3341,769.3793,876.1872,935.6788,939.2115,34.222,-0.8153,-0.5477,0.1709
var,145285717.1439,115123700.0596,9.8739,37.6636,8.7851,14.4359,19.192,256.4996,59.6625,92.099,8.0813,0.0009,0.0026,0.0036
std,12053.4525,10729.5713,3.1423,6.1371,2.964,3.7995,4.3809,16.0156,7.7241,9.5968,2.8428,0.0301,0.0509,0.0601
median,220939.0,1755598521388.0,54.77,-74.59,-11.12,773.0,770.0,874.0,936.0,940.0,33.3333,-0.818,-0.537,0.157
min,189895.0,1755598506608.0,50.67,-81.23,-16.65,760.0,757.0,829.0,910.0,907.0,0.1783,-0.873,-0.624,0.08
max,239399.0,1755598539847.0,60.55,-56.96,-7.32,783.0,781.0,923.0,958.0,966.0,50.0,-0.756,-0.448,0.392
q1,211396.0,1755598511843.5,51.49,-77.675,-15.88,770.0,766.0,863.0,931.0,934.0,33.3333,-0.843,-0.61,0.122
q3,230184.5,1755598530633.0,58.12,-66.72,-9.57,775.0,772.0,890.0,941.0,945.0,34.4828,-0.782,-0.502,0.222
