,timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
sum,797490611.0,1.111996043563304e+16,410416.58,-414652.62,-39037.68,4870185.0,4867844.0,5393970.0,5755243.0,5608632.0,217061.1446,-5709.948,-2456.174,1076.099
mean,125906.3169,1755598426844.4963,64.7958,-65.4646,-6.1632,768.8956,768.526,851.5898,908.6269,885.4803,34.2692,-0.9015,-0.3878,0.1699
var,4231502192.8721,4271294195.1406,33.5424,23.1531,12.7727,12.9016,17.3253,531.9543,504.8539,1112.0333,7.8744,0.0024,0.0087,0.0009
std,65049.9976,65355.139,5.7916,4.8118,3.5739,3.5919,4.1624,23.0641,22.469,33.3472,2.8061,0.0491,0.0934,0.0307
median,123136.0,1755598423582.5,67.18,-63.62,-4.29,769.0,769.0,856.0,911.0,876.0,33.3333,-0.924,-0.348,0.171
min,14653.0,1755598315098.0,50.67,-81.23,-16.65,760.0,757.0,804.0,861.0,834.0,0.1783,-0.954,-0.624,0.08
max,239399.0,1755598539847.0,71.72,-17.55,-2.39,783.0,781.0,923.0,958.0,966.0,50.0,-0.756,-0.281,0.392
q1,69777.5,1755598370223.25,61.13,-66.63,-8.02,766.0,766.0,839.0,897.0,859.0,33.3333,-0.936,-0.438,0.157
q3,178811.75,1755598479259.5,69.1475,-62.4,-3.81,771.0,771.0,866.0,926.0,908.0,34.4828,-0.877,-0.321,0.177
