,timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
sum,47810631.0,2220831898123683.8,89271.54,-78672.7,-3965.51,971614.0,972233.0,1086605.0,1153731.0,1109259.0,43257.1429,-1196.343,-373.364,196.908
mean,37794.9652,1755598338437.6948,70.5704,-62.1919,-3.1348,768.0743,768.5636,858.9763,912.0403,876.8846,34.1954,-0.9457,-0.2951,0.1557
var,127013718.4118,127015674.6568,0.1303,4.2708,0.0855,8.89,18.8363,40.2589,25.6969,45.0547,6.1615,0.0,0.0,0.0002
std,11270.0363,11270.1231,0.361,2.0666,0.2924,2.9816,4.3401,6.345,5.0692,6.7123,2.4822,0.003,0.0039,0.0123
median,37943.0,1755598338388.0,70.59,-61.43,-3.21,768.0,769.0,859.0,912.0,876.0,33.3333,-0.946,-0.294,0.16
min,14653.0,1755598315098.0,62.26,-66.16,-3.72,760.0,757.0,842.0,897.0,858.0,33.3333,-0.954,-0.317,0.113
max,57274.0,1755598357721.0,71.72,-17.55,-2.39,776.0,781.0,877.0,928.0,897.0,50.0,-0.869,-0.281,0.347
q1,28225.0,1755598328670.0,70.46,-63.63,-3.3,766.0,766.0,855.0,909.0,873.0,33.3333,-0.947,-0.297,0.147
q3,47447.0,1755598347893.0,70.72,-60.96,-2.98,770.0,772.0,863.0,916.0,880.0,34.4828,-0.945,-0.293,0.163
