,flex1,flex2,flex3,flex4,flex5
sum,3558859.0,3372047.0,3382476.0,3636449.0,3864992.0
mean,823.8099537037037,780.5664351851852,782.9805555555556,841.7706018518519,894.674074074074
var,721.641345679727,28.610079440113886,30.807679246739216,464.1582927610987,978.0951832128494
std,26.86338299022904,5.348839074052788,5.55046657919307,21.544333193698492,31.274513316962256
median,823.0,781.0,783.0,842.0,901.0
min,771.0,764.0,761.0,786.0,833.0
max,931.0,803.0,812.0,922.0,968.0
q1,800.0,777.0,779.0,823.0,868.0
q3,837.0,784.0,787.0,856.0,924.0
