,flex1,flex2,flex3,flex4,flex5
sum,4870185.0,4867844.0,5393970.0,5755243.0,5608632.0
mean,768.8956425639407,768.5260498894853,851.5898326491948,908.6269340069466,885.4802652352384
var,12.901629517569045,17.325312137728552,531.9542689440405,504.8538520540684,1112.03332277821
std,3.5918838396542063,4.162368573027688,23.064133821673,22.46895306982656,33.34716363917942
median,769.0,769.0,856.0,911.0,876.0
min,760.0,757.0,804.0,861.0,834.0
max,783.0,781.0,923.0,958.0,966.0
q1,766.0,766.0,839.0,897.0,859.0
q3,771.0,771.0,866.0,926.0,908.0
