,flex1,flex2,flex3,flex4,flex5
sum,4048434.0,3722236.0,4210114.0,4191497.0,4331018.0
mean,843.42375,775.4658333333333,877.1070833333333,873.2285416666666,902.2954166666667
var,388.62473275682436,31.63333958463569,221.20086667361252,398.18926647044526,475.64640532749877
std,19.71356722556383,5.624352370241012,14.872823090241225,19.954680314914725,21.809319231179565
median,850.0,776.0,876.0,873.0,905.0
min,787.0,737.0,836.0,787.0,846.0
max,879.0,806.0,951.0,926.0,963.0
q1,839.0,772.0,865.0,858.0,889.0
q3,857.0,779.0,888.0,890.0,920.0
