,timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
sum,112068513.0,2312122404265015.0,30192.95,-58280.84,-3491.38,1014228.0,1012182.0,1103692.0,1177087.0,1127854.0,45123.8592,-511.155,-851.448,864.343
mean,85093.7836,1755597877194.3926,22.9256,-44.2527,-2.651,770.1048,768.5513,838.0349,893.7639,856.3812,34.2626,-0.3881,-0.6465,0.6563
var,173217042.5907,157400117.2417,0.1686,0.0969,1.9608,8.5954,17.2673,24.4152,17.0741,25.923,7.7021,0.0,0.0,0.0
std,13161.1946,12545.9203,0.4106,0.3113,1.4003,2.9318,4.1554,4.9412,4.1321,5.0915,2.7753,0.0067,0.0037,0.0045
median,85679.0,1755597876759.0,22.85,-44.13,-2.53,770.0,769.0,838.0,894.0,856.0,33.3333,-0.387,-0.646,0.657
min,60940.0,1755597854769.0,22.18,-45.18,-5.19,762.0,757.0,825.0,882.0,841.0,0.3781,-0.416,-0.657,0.637
max,106891.0,1755597897971.0,24.3,-43.69,-0.25,778.0,781.0,852.0,906.0,873.0,50.0,-0.373,-0.631,0.669
q1,72772.0,1755597868476.0,22.7,-44.45,-4.12,768.0,766.0,835.0,891.0,853.0,33.3333,-0.39,-0.649,0.654
q3,96493.0,1755597887573.0,23.03,-44.02,-1.44,772.0,771.0,841.0,897.0,860.0,34.4828,-0.384,-0.644,0.66
