,timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
sum,276733988.0,2222587080496695.0,25936.87,-60226.89,4846.01,972655.0,972438.0,1140635.0,1198943.0,1176271.0,43283.908,-437.2,-879.951,794.342
mean,218589.248,1755598009871.007,20.4873,-47.5726,3.8278,768.2899,768.1185,900.9755,947.0324,929.124,34.1895,-0.3453,-0.6951,0.6274
var,137527017.0926,134919920.8387,4.5692,0.3159,1.8761,6.9301,14.8018,54.6879,41.6203,247.6961,4.9697,0.001,0.0001,0.0002
std,11727.1914,11615.5035,2.1376,0.562,1.3697,2.6325,3.8473,7.3951,6.4514,15.7384,2.2293,0.0311,0.011,0.0144
median,218782.0,1755598009866.0,19.73,-47.53,3.64,769.0,768.0,902.0,947.0,930.0,33.3333,-0.337,-0.696,0.631
min,197792.0,1755597992015.0,19.41,-51.2,2.18,760.0,758.0,880.0,929.0,882.0,33.3333,-0.556,-0.717,0.524
max,238740.0,1755598029824.0,32.64,-44.42,10.1,776.0,778.0,920.0,964.0,972.0,50.0,-0.329,-0.619,0.642
q1,208399.5,1755597999482.5,19.63,-48.0,2.74,766.25,766.0,896.0,943.0,919.0,33.3333,-0.34,-0.7,0.623
q3,228671.75,1755598019755.5,20.06,-47.28,4.57,770.0,771.0,906.0,951.0,940.0,34.4828,-0.334,-0.693,0.635
