,timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
sum,53742773.0,2459592559321784.0,32429.53,-61601.11,-10830.86,1080251.0,1077478.0,1193822.0,1282805.0,1219688.0,47820.4956,-549.788,-900.55,921.848
mean,38360.2948,1755597829637.2476,23.1474,-43.9694,-7.7308,771.0571,769.0778,852.1213,915.6353,870.5839,34.1331,-0.3924,-0.6428,0.658
var,160260780.6523,157689678.3665,0.1481,0.3356,1.8245,7.8439,17.5804,36.6967,35.4147,30.0131,4.4715,0.0,0.0,0.0
std,12659.4147,12557.4551,0.3849,0.5793,1.3507,2.8007,4.1929,6.0578,5.951,5.4784,2.1146,0.0059,0.0047,0.0066
median,38457.0,1755597829536.0,23.27,-44.08,-7.51,771.0,769.0,852.0,915.0,870.0,33.3333,-0.394,-0.643,0.657
min,16334.0,1755597807412.0,21.45,-44.62,-10.48,763.0,757.0,836.0,898.0,855.0,33.3333,-0.405,-0.656,0.644
max,60358.0,1755597851437.0,23.58,-40.56,-5.7,779.0,781.0,868.0,933.0,887.0,50.0,-0.365,-0.617,0.69
q1,27369.0,1755597819630.0,23.04,-44.16,-9.09,769.0,766.0,848.0,911.0,867.0,33.3333,-0.396,-0.644,0.655
q3,49225.0,1755597840303.0,23.38,-43.98,-6.56,773.0,772.0,856.0,920.0,874.0,34.4828,-0.391,-0.641,0.659
