,timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
sum,820923996.0,1.1307806195451396e+16,149744.29,-288841.98,-461.73,4957074.0,4950555.0,5493980.0,5858679.0,5657552.0,220323.6651,-2529.154,-4196.131,4168.483
mean,127452.8794,1755597918871.51,23.2486,-44.8443,-0.0717,769.6125,768.6004,852.97,909.5915,878.3655,34.2064,-0.3927,-0.6515,0.6472
var,4322644319.0884,4301659348.8782,3.8824,2.1545,25.4542,9.2663,16.612,759.7378,695.4677,1026.8804,5.7061,0.001,0.0005,0.0002
std,65746.8198,65587.0364,1.9704,1.4678,5.0452,3.0441,4.0758,27.5633,26.3717,32.045,2.3887,0.0318,0.0229,0.015
median,128464.0,1755597919545.0,23.34,-44.16,1.82,770.0,769.0,849.0,914.0,870.0,33.3333,-0.395,-0.643,0.652
min,16334.0,1755597807412.0,19.41,-51.2,-10.48,760.0,757.0,806.0,858.0,825.0,0.3781,-0.556,-0.717,0.524
max,238740.0,1755598029824.0,32.64,-40.56,10.1,779.0,781.0,920.0,964.0,972.0,50.0,-0.329,-0.617,0.69
q1,68929.0,1755597860008.0,22.71,-44.93,-4.57,768.0,766.0,836.0,892.0,854.0,33.3333,-0.413,-0.65,0.639
q3,184209.0,1755597975292.0,24.44,-44.01,4.35,772.0,771.0,861.0,925.0,899.0,34.4828,-0.384,-0.638,0.657
