,timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
sum,220256347.0,2205031045957072.0,32201.08,-55869.77,7070.47,965311.0,965149.0,1072925.0,1156270.0,1125108.0,42991.7898,-541.133,-797.86,804.101
mean,175363.3336,1755597966526.3313,25.6378,-44.4823,5.6294,768.5597,768.4307,854.2396,920.5971,895.7866,34.2291,-0.4308,-0.6352,0.6402
var,127823186.1508,126215820.3763,0.5489,0.6486,0.5373,8.8299,14.784,51.5529,32.7619,38.9632,5.6946,0.0001,0.0,0.0002
std,11305.8917,11234.5815,0.7409,0.8053,0.733,2.9715,3.845,7.18,5.7238,6.2421,2.3863,0.0114,0.0057,0.0129
median,175563.5,1755597966645.5,25.445,-44.28,5.38,769.0,769.0,854.0,920.0,895.0,33.3333,-0.427,-0.635,0.645
min,153947.0,1755597947745.0,23.87,-46.87,2.8,761.0,759.0,835.0,904.0,879.0,33.3333,-0.465,-0.661,0.603
max,194777.0,1755597985860.0,27.41,-43.1,7.06,777.0,778.0,874.0,936.0,913.0,50.0,-0.402,-0.617,0.66
q1,165711.75,1755597956793.75,25.0875,-44.89,5.13,767.0,766.0,849.0,917.0,892.0,33.3333,-0.437,-0.637,0.635
q3,185132.25,1755597976215.25,26.1,-43.87,6.2725,771.0,771.0,859.0,924.0,900.0,34.4828,-0.422,-0.632,0.65
