,flex1,flex2,flex3,flex4,flex5
sum,924629.0,923308.0,982906.0,1043574.0,1008631.0
mean,769.8825978351374,768.7826810990841,818.40632805995,868.9208992506245,839.8259783513738
var,8.83037191229531,18.06189980571746,21.851426588953647,15.406237857341106,22.167191229530943
std,2.971594170188,4.249929388321347,4.674550950514247,3.925078070222439,4.708204671584588
median,770.0,769.0,819.0,869.0,840.0
min,762.0,757.0,806.0,858.0,825.0
max,778.0,781.0,833.0,882.0,856.0
q1,768.0,766.0,815.0,866.0,837.0
q3,772.0,772.0,821.0,871.0,843.0
