,flex1,flex2,flex3,flex4,flex5
sum,3662991.0,3661374.0,3571375.0,3781879.0,3816794.0
mean,832.4979545454545,832.1304545454545,811.6761363636364,859.5179545454546,867.4531818181819
var,793.4589637624254,190.19120688586247,169.25926217735437,983.0049060220299,890.1119244043068
std,28.16840364242222,13.79098281073044,13.009967800780846,31.352909051984792,29.834743578658536
median,840.0,832.0,810.0,857.0,874.0
min,774.0,783.0,779.0,788.0,782.0
max,891.0,875.0,857.0,933.0,942.0
q1,814.0,822.0,802.0,842.0,864.0
q3,856.0,843.0,820.0,879.0,885.0
