,flex1,flex2,flex3,flex4,flex5
sum,3986161.0,3723240.0,3786431.0,4110839.0,4256955.0
mean,830.4502083333333,775.675,788.8397916666667,856.4247916666667,886.865625
var,814.2638257536292,28.414044592623462,28.65092723310412,1118.6023858703202,427.3732711241925
std,28.535308404740068,5.33048258534098,5.3526560914282655,33.445513688241064,20.673008274660766
median,825.0,776.0,789.0,846.0,894.0
min,785.0,758.0,768.0,801.0,837.0
max,899.0,796.0,817.0,947.0,946.0
q1,804.0,773.0,785.0,824.0,864.0
q3,854.25,779.0,792.0,886.0,903.0
