,timestamp_ms,recv_timestamp_ms,pitch,roll,yaw,flex1,flex2,flex3,flex4,flex5,sampling_hz,accel_x,accel_y,accel_z
count,1201.0,1201.0,1201.0,1201.0,1201.0,1201.0,1201.0,1201.0,1201.0,1201.0,1201.0,1201.0,1201.0,1201.0
mean,131658.93005828475,1755597922906.602,24.133105745212323,-44.01612822647794,1.6186761032472936,769.8825978351374,768.7826810990841,818.40632805995,868.9208992506245,839.8259783513738,34.22448999123609,-0.40789175686927565,-0.6380699417152373,0.6526636136552874
std,11110.851847110433,11058.413121607195,0.39858365450926975,0.31502843291402854,1.0370715159380957,2.9715941701879767,4.249929388321357,4.674550950514245,3.92507807022244,4.708204671584591,2.3986769022466654,0.006998924226443932,0.005354758389812451,0.0037022628122019203
min,112518.0,1755597904972.0,23.27,-44.62,-0.64,762.0,757.0,806.0,858.0,825.0,33.333333333333336,-0.424,-0.649,0.643
25%,121870.0,1755597912950.0,23.7,-44.17,1.42,768.0,766.0,815.0,866.0,837.0,33.333333333333336,-0.413,-0.642,0.65
50%,131675.0,1755597922755.0,24.25,-44.1,2.04,770.0,769.0,819.0,869.0,840.0,33.333333333333336,-0.41,-0.639,0.652
75%,141300.0,1755597932381.0,24.44,-43.88,2.41,772.0,772.0,821.0,871.0,843.0,34.48275862068966,-0.403,-0.636,0.655
max,150822.0,1755597941903.0,24.73,-43.13,2.69,778.0,781.0,833.0,882.0,856.0,50.0,-0.39,-0.618,0.666
variance,123451028.7684374,122288500.76813419,0.15886892964196492,0.09924291354426859,1.0755173291701399,8.83037191229517,18.061899805717548,21.851426588953636,15.406237857341116,22.167191229530932,5.75365088137166,4.89849403275038e-05,2.8673437413266826e-05,1.3706749930613272e-05
