,flex1,flex2,flex3,flex4,flex5
sum,3878980.0,3843413.0,4332721.0,4282412.0,4548283.0
mean,782.0524193548387,774.8816532258064,873.5324596774194,863.3895161290322,916.9925403225807
var,21.94724157445895,33.53690874038079,455.5149776148287,476.23905118747933,345.906982051207
std,4.6847883169316145,5.791106003207055,21.34279685549269,21.822901988220526,18.59857473171552
median,782.0,775.0,871.0,864.0,913.0
min,766.0,751.0,821.0,813.0,872.0
max,807.0,801.0,926.0,920.0,982.0
q1,779.0,771.0,857.0,846.0,901.0
q3,785.0,779.0,893.0,877.0,934.0
