,flex1,flex2,flex3,flex4,flex5
sum,4055091.0,3758300.0,3785901.0,3817036.0,3871208.0
mean,844.810625,782.9791666666666,788.729375,795.2158333333333,806.5016666666667
var,874.7536691237758,32.92767590470237,27.72399627526568,28.815252483156215,42.408415642147666
std,29.576234870648694,5.7382641891692625,5.265358133618802,5.367984024115218,6.5121744173622735
median,835.0,784.0,789.0,795.0,806.0
min,807.0,764.0,768.0,770.0,784.0
max,934.0,805.0,813.0,826.0,853.0
q1,823.0,779.0,785.0,792.0,803.0
q3,852.0,787.0,792.0,798.0,810.0
