segment_id,channel,start_time,end_time,peak_delta,n_points,threshold_used,method
0,flex1,1970-01-01 00:00:00.000229989,1970-01-01 00:00:00.000238740,10.0,276,0.8,diff_threshold
1,flex2,1970-01-01 00:00:00.000229989,1970-01-01 00:00:00.000238740,18.0,276,0.8,diff_threshold
2,flex3,1970-01-01 00:00:00.000229989,1970-01-01 00:00:00.000238740,29.0,276,0.8,diff_threshold
3,flex4,1970-01-01 00:00:00.000229989,1970-01-01 00:00:00.000238740,33.0,276,0.8,diff_threshold
4,flex5,1970-01-01 00:00:00.000229989,1970-01-01 00:00:00.000238740,63.0,276,0.8,diff_threshold
