,flex1,flex2,flex3,flex4,flex5
sum,4851309.0,4623103.0,4671894.0,5173070.0,5179532.0
mean,805.9991692972254,768.0848978235588,776.1910616381459,859.456720385446,860.5303206512709
var,44.2268188511941,17.020873581283062,16.849498025279534,738.3452103124639,332.54955408460336
std,6.650324717725752,4.125636142618864,4.10481400617367,27.172508355182522,18.23594127224047
median,807.0,768.0,776.0,851.0,856.0
min,784.0,756.0,765.0,798.0,824.0
max,831.0,781.0,796.0,923.0,903.0
q1,803.0,765.0,774.0,841.0,846.0
q3,810.0,771.0,779.0,875.0,879.0
