,flex1,flex2,flex3,flex4,flex5
sum,3732506.0,3407729.0,3437090.0,3653571.0,3854976.0
mean,848.2968181818181,774.4838636363636,781.1568181818182,830.3570454545454,876.1309090909091
var,316.27696191283144,31.763776839777634,31.590314947612057,790.0518485089586,1619.1904060840272
std,17.784177290862555,5.635936199051373,5.620526216255206,28.107860973559667,40.23916507687538
median,846.0,775.0,781.0,814.0,850.0
min,815.0,754.0,760.0,786.0,818.0
max,899.0,801.0,808.0,913.0,972.0
q1,833.0,771.0,778.0,808.0,843.0
q3,863.0,778.0,785.0,858.0,923.0
